CLE;AB;BA;BP;BP_AB;BP_PM;H;PB;PM;PM_AB;PT;PT_AB;PT_PM;TO;BOG;ALTI;D_1A;D_1AR;D_R;D_2;D_4GA;D_7;D_8;D_8AR;D_WA;ELE;P_DEF;ARI;DWFC;EVA;GDD;MAT;PRECT;PRECU;VPD;AG;BR;FT;HF;HL;LOG;SBOM;SBOS;SBON;O1700;O1880;O1900;O1920
1;1.80;0.00;6.52;2.70;1.84;3.28;2.07;21.72;3.19;10.34;1.62;3.96;0.13;6.52;300.23;0.31;24.38;10.31;0.31;51.88;5.63;0.00;0.00;7.19;23.32;3;5;10;7;10;10;5;4;10;4.86;1.53;7.50;30.519;1.00;19.20;11.15;6.65;10.50;3.69;4.74;7.63;24.21
2;0.06;0.00;2.74;0.00;0.91;12.05;0.18;1.34;0.00;27.88;0.55;3.77;0.00;3.35;300.85;0.00;8.80;23.60;0.40;42.40;3.60;0.00;0.00;12.80;33.72;5;5;10;7;9;9;5;4;10;11.63;1.70;7.00;51.086;1.00;3.35;0.61;0.30;9.00;0.00;0.00;1.48;5.89
3;0.83;0.00;2.66;0.53;0.99;10.62;3.34;6.07;2.12;24.43;1.52;5.84;0.00;12.44;302.06;0.00;12.04;25.65;0.52;42.93;9.95;0.00;0.00;4.19;31.93;0;5;10;7;9;10;5;4;10;5.08;2.35;7.80;100.000;1.00;8.73;2.28;0.99;9.60;0.00;0.00;12.91;16.13
4;0.94;0.00;7.71;2.76;3.24;1.06;11.41;29.82;3.00;1.82;0.24;3.29;0.00;12.53;326.65;2.42;23.39;3.63;6.85;13.71;13.71;0.00;0.00;3.23;19.12;0;5;10;7;9;9;5;4;10;0.00;0.94;6.00;9.178;1.00;25.41;9.18;2.41;10.00;6.02;14.46;12.05;30.12
5;1.68;0.00;7.24;2.89;4.87;2.36;4.27;15.23;1.68;8.07;1.29;13.02;0.00;6.25;322.85;2.15;30.11;11.83;0.00;42.47;2.69;0.00;0.00;4.84;34.78;6;4;10;7;9;9;5;5;10;0.23;2.28;6.67;62.379;1.00;20.49;7.31;0.46;9.67;3.48;4.35;7.83;27.83
6;1.27;0.00;5.68;6.99;5.09;2.67;2.71;31.75;4.92;0.81;0.17;2.42;0.00;10.13;333.94;12.65;34.94;12.65;1.81;19.88;5.72;0.00;0.00;3.01;34.24;5;5;10;7;9;10;5;5;10;0.00;3.94;5.17;21.564;1.00;30.27;16.66;3.22;9.83;10.99;15.75;17.95;35.53
7;0.38;0.38;22.56;3.73;12.58;5.11;3.81;6.10;0.38;16.46;1.22;6.86;1.07;3.89;328.25;0.56;15.82;41.81;2.26;16.95;5.08;0.00;0.00;7.91;85.42;23;5;10;7;9;9;5;4;10;0.30;0.08;5.25;14.539;0.00;7.09;10.90;0.38;8.00;2.45;1.84;6.14;51.53
8;2.65;0.00;5.56;7.11;10.40;0.78;0.58;5.30;3.04;8.14;4.65;12.60;4.13;3.94;292.85;0.00;18.58;15.93;0.44;36.28;7.08;0.00;0.00;20.35;34.29;5;5;10;7;9;9;5;4;10;0.19;0.32;10.50;10.119;1.00;7.88;28.29;2.52;8.50;1.16;1.16;15.12;38.37
9;1.95;2.66;14.21;12.97;16.87;1.42;1.07;9.24;4.80;13.50;1.24;7.46;1.24;3.37;337.46;3.80;16.46;27.85;2.53;22.78;3.80;0.00;0.00;0.00;52.89;8;4;10;7;9;9;5;4;10;0.00;0.00;4.00;0.022;1.00;0.71;23.80;0.18;8.00;8.82;2.94;8.82;52.94
10;1.24;0.07;14.98;4.21;10.84;9.66;1.86;6.42;1.86;19.46;1.04;7.04;0.07;3.11;323.09;0.52;14.95;48.97;0.52;28.87;1.55;0.00;0.00;3.09;52.61;2;5;10;7;9;9;5;4;9;0.76;1.73;7.83;51.458;1.33;4.49;9.66;0.55;9.00;1.98;0.99;1.98;9.90
11;0.23;0.00;8.35;0.11;4.35;4.69;18.42;13.27;1.03;10.76;0.57;5.49;0.11;6.41;328.65;2.46;4.10;23.77;4.92;26.23;9.02;0.00;0.00;4.10;29.21;0;4;10;7;9;9;5;4;9;1.49;0.46;7.00;71.473;2.00;11.44;0.34;0.00;9.50;0.00;5.88;11.76;27.94
12;0.00;0.00;11.73;0.40;3.16;15.02;2.37;1.19;0.13;28.06;0.00;8.17;0.00;4.35;322.90;0.00;7.77;50.49;0.00;29.13;4.85;0.00;0.00;5.83;77.10;4;5;10;7;9;9;5;4;10;0.53;0.13;7.00;30.720;1.33;6.19;0.13;0.00;9.67;0.00;0.00;0.00;14.81
13;0.24;0.00;16.85;0.16;5.64;6.35;10.03;13.17;1.33;13.01;0.08;11.52;0.00;2.98;333.54;3.33;33.33;22.78;4.44;19.44;10.56;0.00;0.00;1.11;48.85;0;4;10;7;9;9;5;5;9;1.18;1.18;7.25;30.258;1.00;6.82;0.00;0.00;7.25;0.00;1.22;2.44;34.15
14;4.03;0.00;11.41;1.15;2.88;2.21;6.04;4.79;3.45;23.59;0.58;5.18;0.00;6.52;291.14;0.00;11.76;7.84;1.96;54.25;11.76;0.00;0.00;8.50;32.06;0;5;10;7;9;9;5;4;10;0.38;1.92;7.00;68.198;1.67;4.70;3.36;0.00;9.33;1.23;2.47;9.87;20.99
15;14.17;0.00;4.92;7.54;2.81;1.33;5.84;4.37;7.04;11.27;5.20;7.27;0.41;3.68;289.34;0.00;14.24;13.27;0.00;47.90;11.33;0.00;0.00;11.65;37.57;3;5;10;7;9;9;5;4;10;1.79;0.32;5.43;10.423;1.00;19.00;16.28;0.14;8.60;6.47;5.89;10.59;38.24
16;0.50;0.00;3.34;1.85;6.09;3.79;1.04;11.82;1.80;19.76;2.07;8.48;0.00;6.81;289.81;0.32;6.77;10.97;0.97;57.10;16.77;0.00;0.00;5.81;33.02;4;5;10;7;9;9;5;4;10;2.80;2.44;6.25;34.410;1.25;11.73;5.86;1.17;9.50;1.56;5.46;10.55;22.65
17;0.12;0.00;5.60;1.05;3.38;5.83;9.45;13.77;1.17;20.77;0.47;11.55;0.00;2.92;312.14;0.00;8.20;9.84;0.82;61.48;14.75;0.00;0.00;0.82;46.99;0;4;10;7;9;9;5;5;10;0.12;0.70;7.00;3.951;1.00;5.72;2.22;0.23;7.00;0.00;0.00;6.67;50.00
18;0.38;0.00;1.91;0.45;1.53;1.28;1.79;11.23;1.28;24.25;0.19;6.25;0.00;3.96;289.56;0.00;4.93;3.59;0.00;67.26;21.08;0.00;0.00;3.14;25.19;4;5;10;7;9;9;5;4;10;10.78;1.98;6.20;24.032;1.00;14.49;1.53;0.26;9.20;0.64;1.91;1.28;18.47
19;1.38;0.00;13.94;7.09;8.41;5.53;14.96;9.80;3.61;1.74;0.48;3.91;0.06;3.25;369.36;2.05;38.11;31.15;6.97;8.61;3.69;0.00;0.00;1.23;67.89;15;3;10;7;9;9;5;5;9;0.00;11.78;5.60;37.239;1.80;14.66;2.10;0.00;7.80;9.84;13.12;14.76;22.95
20;0.00;0.00;1.82;0.00;3.47;1.82;31.60;18.20;0.33;5.87;0.25;11.41;0.00;6.62;337.58;18.64;29.38;16.95;2.82;10.73;8.47;0.00;0.00;1.69;35.82;10;3;9;6;8;9;5;5;9;0.00;5.13;3.67;10.502;0.00;8.68;0.00;0.00;2.00;10.25;2.56;7.69;44.87
21;0.26;0.00;0.58;0.38;0.10;0.53;1.27;4.80;0.43;19.92;0.99;5.37;0.00;4.32;284.10;0.34;1.76;1.42;0.06;68.73;15.47;0.00;0.00;11.22;16.91;0;4;9;7;9;9;5;4;9;25.14;2.55;6.63;11.283;1.03;8.25;0.12;0.00;5.88;1.58;1.02;1.85;23.54
22;0.37;0.00;0.19;0.06;0.06;0.06;9.07;25.85;3.45;11.23;0.12;12.34;0.00;11.72;302.36;0.44;4.37;0.00;0.87;48.03;46.29;0.00;0.00;0.00;12.01;0;4;9;7;8;9;5;5;9;2.34;1.60;6.00;3.557;1.00;9.87;0.00;0.00;4.17;6.40;5.02;8.22;28.31
23;1.76;0.00;0.25;0.25;0.88;0.00;29.85;18.77;5.79;3.90;1.13;9.19;0.00;4.28;335.94;25.66;15.93;12.39;9.73;17.70;10.62;0.00;0.00;0.00;31.70;0;3;9;6;8;9;5;5;9;0.00;0.50;5.00;3.376;1.00;44.46;0.00;0.00;5.00;21.50;23.65;19.35;21.51
24;0.18;0.00;0.31;0.00;0.21;0.31;3.64;6.16;0.05;23.55;0.03;7.36;0.03;4.56;306.40;0.19;0.37;0.56;0.56;85.61;10.65;0.00;0.00;1.31;18.01;0;4;10;7;9;9;5;5;10;25.65;0.65;7.75;11.959;1.00;9.17;0.16;0.03;6.38;1.08;0.81;1.35;24.19
25;0.27;0.00;0.82;0.27;0.68;2.46;2.19;13.19;0.55;17.84;0.00;14.83;0.00;5.13;315.88;8.70;5.31;10.63;1.45;56.52;14.49;0.00;0.00;1.45;29.79;2;4;10;7;9;9;5;5;9;11.48;3.96;7.67;19.561;1.00;16.27;0.00;0.00;4.33;0.00;0.00;0.00;20.32
26;0.99;0.00;0.48;2.06;1.07;0.28;23.06;22.53;2.26;3.46;0.08;5.39;0.00;17.72;324.05;6.51;3.35;1.94;1.76;21.30;43.84;0.00;0.00;1.06;17.18;0;4;10;7;9;9;5;5;9;0.81;0.43;6.73;9.742;1.09;14.62;0.86;0.00;5.73;3.20;4.08;8.74;47.23
27;0.83;0.00;3.99;0.83;2.50;0.67;10.48;18.80;1.83;3.16;0.00;10.82;0.00;7.15;333.49;31.40;23.26;8.14;0.00;20.93;12.79;0.00;0.00;0.00;23.62;4;3;9;7;8;9;5;5;9;0.33;0.17;7.00;2.277;2.00;41.60;0.00;0.00;6.00;2.22;15.56;6.66;40.00
28;1.71;0.00;0.46;0.34;0.19;0.34;4.34;13.01;3.08;9.78;1.03;11.79;0.00;9.13;296.45;0.27;1.91;1.36;0.54;65.40;22.34;0.00;0.00;7.36;20.68;0;4;9;7;9;9;5;5;9;8.22;0.72;5.50;7.579;1.00;21.87;0.00;0.00;5.13;0.78;1.17;5.08;25.78
29;0.30;0.00;1.02;0.53;1.05;0.72;8.67;13.65;0.86;9.00;0.36;11.60;0.00;13.60;316.17;4.57;7.24;1.90;0.19;40.76;34.29;0.00;0.00;5.71;14.22;0;4;10;7;9;9;5;5;9;5.95;2.22;7.00;5.052;1.80;17.92;1.11;0.11;6.70;6.59;4.12;4.94;24.72
30;0.42;0.00;4.10;1.05;6.82;3.93;3.64;27.38;0.25;4.60;0.04;4.23;0.00;7.79;306.32;0.00;14.62;17.54;1.75;48.54;8.48;0.00;0.00;4.39;21.74;0;5;10;7;10;10;5;4;10;0.00;4.40;4.67;9.178;1.00;30.77;15.70;9.00;9.83;7.32;5.69;13.82;33.33
31;1.01;0.00;8.16;2.90;18.88;5.21;5.02;32.45;0.53;2.27;0.14;2.32;0.00;5.79;338.33;3.37;26.60;41.08;0.00;19.19;6.06;0.00;0.00;1.01;36.48;0;5;10;7;10;10;5;5;10;0.00;1.11;4.25;2.966;1.00;15.89;18.64;4.73;9.75;9.73;14.40;21.79;36.18
32;1.79;0.08;3.21;0.28;9.68;0.20;1.27;33.64;0.79;4.13;0.28;9.24;0.00;7.06;340.87;29.28;30.39;4.42;0.00;22.93;9.12;0.00;0.00;2.21;22.86;1;4;10;7;9;9;5;5;10;0.00;3.77;6.17;17.408;1.00;36.53;13.33;2.98;9.33;5.46;17.58;18.36;29.30
33;2.28;0.00;4.67;1.42;1.46;0.63;3.11;11.85;0.98;15.43;0.54;6.23;0.00;5.58;306.35;0.73;8.05;2.72;1.68;57.11;4.92;0.00;0.00;21.97;24.66;0;5;10;7;9;9;5;4;10;6.85;0.50;6.53;11.429;1.00;19.87;4.90;0.98;8.59;1.43;2.05;5.93;23.32
34;1.12;0.00;3.79;0.00;1.29;0.69;17.93;21.72;1.47;17.33;0.00;4.05;0.00;10.86;338.09;8.29;15.38;6.51;5.33;27.81;14.20;0.00;0.00;2.96;30.08;2;4;10;7;9;9;5;5;9;3.53;0.43;7.75;6.107;1.00;10.17;1.55;0.78;8.00;4.20;4.20;2.52;42.02
35;0.94;0.00;22.56;0.17;5.56;4.27;8.55;24.44;0.26;8.80;0.00;5.98;0.00;3.42;369.35;8.14;31.98;20.93;0.00;11.05;17.44;0.00;0.00;1.16;43.38;0;4;10;7;9;9;5;5;10;0.17;3.76;6.00;1.321;1.00;5.81;14.10;4.44;8.00;0.81;4.84;9.68;45.16
36;0.21;0.00;1.38;0.42;1.69;0.53;0.63;8.36;0.00;22.43;0.95;20.63;0.11;2.65;310.29;0.00;12.78;6.02;1.50;54.89;5.26;0.00;0.00;16.54;12.55;0;5;10;7;9;10;5;5;10;5.08;2.96;8.00;47.853;1.00;7.09;7.83;1.38;10.00;0.00;0.00;0.00;17.58
37;2.16;0.00;0.59;0.55;0.72;0.17;11.84;28.54;2.33;0.04;0.42;2.79;0.00;9.09;327.25;9.55;9.85;0.60;0.30;47.76;11.34;0.00;0.00;0.90;22.26;1;3;9;6;8;9;5;5;9;0.00;0.30;2.40;0.538;1.00;63.72;0.08;0.00;2.20;21.60;10.33;19.72;11.73
38;0.49;0.00;5.54;1.17;3.98;0.68;24.88;39.84;0.68;0.49;1.85;9.52;0.00;2.82;324.80;23.33;13.33;26.00;0.00;32.00;3.33;0.00;0.00;0.67;37.41;0;3;9;6;8;9;5;5;9;0.00;0.00;1.00;0.003;0.00;34.60;7.39;0.29;0.75;15.79;17.55;43.86;22.81
39;0.09;0.00;3.63;1.41;3.30;1.13;12.91;41.97;0.57;1.74;0.61;7.35;0.00;3.67;301.56;4.56;5.54;5.86;0.33;78.83;3.91;0.00;0.00;0.98;32.81;3;3;9;6;8;9;5;5;9;0.00;3.20;1.00;0.001;0.00;53.51;2.12;0.00;1.40;47.19;23.60;3.37;0.00
40;1.12;0.00;0.71;0.45;0.74;0.04;10.96;28.44;1.66;5.83;0.53;9.98;0.00;6.23;298.60;0.37;0.33;0.22;0.11;87.83;7.97;0.00;0.00;2.52;19.72;0;4;9;7;9;9;5;5;9;2.33;0.84;3.22;5.546;1.00;44.85;1.06;0.19;2.53;9.38;5.32;13.08;27.41
41;0.75;0.00;0.67;0.07;0.95;0.07;9.75;33.58;0.88;5.14;0.02;6.76;0.00;7.12;294.77;2.31;1.63;0.61;0.76;80.14;9.42;0.00;0.00;1.63;16.84;0;4;10;7;9;9;5;5;9;2.10;1.64;3.60;6.607;1.00;50.31;1.67;0.53;2.19;16.26;7.17;11.71;25.25
42;0.00;0.00;2.19;2.10;3.59;0.09;6.22;34.24;1.31;0.70;0.00;9.54;0.00;17.08;303.78;4.32;14.81;2.47;6.79;24.69;28.40;0.00;0.00;3.70;19.40;0;4;10;7;9;9;5;5;9;0.00;1.66;2.75;0.000;1.00;8.76;4.82;0.88;2.25;16.89;16.88;19.48;27.27
43;1.09;0.00;0.32;0.00;0.58;0.00;9.44;29.16;4.24;3.53;0.13;7.84;0.00;9.06;286.51;0.91;0.00;0.00;0.45;75.00;13.18;0.00;0.00;0.91;11.65;0;4;10;7;9;9;5;5;9;0.00;0.00;3.17;0.551;1.00;67.82;1.16;0.19;2.00;9.57;13.97;7.35;17.64
44;1.51;0.00;1.23;0.62;1.87;0.19;5.43;32.11;1.39;1.11;0.02;4.63;0.02;24.55;306.33;1.33;1.45;0.85;5.43;46.98;22.83;0.00;0.00;3.86;12.55;0;4;10;7;9;9;5;5;9;0.00;0.33;4.93;0.828;1.00;36.89;3.02;0.63;3.21;23.01;12.28;17.14;16.11
45;1.31;0.00;3.07;0.00;6.13;0.99;10.19;49.62;0.55;1.86;0.00;5.70;0.00;8.87;326.57;49.60;18.40;4.00;0.80;16.80;8.00;0.00;0.00;2.40;27.94;0;4;10;7;9;9;5;5;9;0.00;0.00;3.00;0.000;1.00;36.69;8.00;3.07;2.00;41.17;14.70;7.35;30.88
46;1.24;0.00;1.17;0.07;2.05;0.07;17.12;40.09;2.12;5.05;0.00;7.90;0.00;8.78;319.67;2.06;3.61;1.55;0.52;56.19;13.92;0.00;0.00;1.55;20.91;0;4;10;7;9;9;5;5;9;0.00;1.02;4.80;13.140;1.00;33.80;1.98;0.66;3.00;17.86;16.07;35.72;14.28
47;0.07;0.14;10.61;0.00;10.20;0.07;13.46;27.19;0.00;1.70;0.00;1.22;0.00;8.70;322.63;0.44;23.79;11.45;3.52;12.33;13.66;0.00;0.00;18.94;26.89;0;5;10;7;10;10;5;5;10;0.00;0.07;4.33;0.008;1.67;6.12;11.01;4.21;11.67;8.69;5.07;5.80;52.90
48;0.31;0.00;4.50;0.10;7.79;0.05;17.98;23.63;1.46;1.05;0.00;0.84;0.00;27.08;327.66;0.37;17.60;3.00;9.36;3.00;29.59;0.00;0.00;5.99;18.23;1;5;10;7;10;10;5;5;10;0.00;0.26;4.75;21.984;1.00;14.79;11.50;2.09;10.25;4.18;3.83;3.13;25.08
49;1.40;0.06;5.25;0.06;15.75;0.31;9.95;32.60;0.12;0.49;0.00;2.69;0.00;7.81;338.52;10.46;49.79;7.11;0.42;6.28;11.30;0.00;0.00;7.11;31.38;3;5;10;7;10;10;5;5;10;0.00;0.00;4.25;1.068;1.00;30.16;19.66;1.34;11.25;4.31;2.69;16.66;33.87
50;1.05;0.00;5.72;0.05;12.54;0.25;0.90;32.85;0.00;0.65;0.00;2.24;0.05;6.07;332.29;18.47;21.95;2.09;0.00;29.27;15.33;0.00;0.00;11.50;23.31;0;5;10;7;10;10;5;5;10;0.00;9.56;4.75;23.052;1.25;22.15;16.03;2.49;11.00;4.53;4.02;9.04;41.71
51;0.55;0.04;5.80;0.07;12.15;0.04;2.24;17.28;0.04;1.54;0.00;3.27;0.00;17.61;338.64;16.05;10.70;1.07;6.42;2.14;21.39;0.00;0.00;11.50;21.66;1;5;10;7;10;10;5;5;10;0.00;0.15;5.14;12.958;1.60;37.03;11.74;0.84;10.14;5.37;11.22;11.70;23.90
52;0.42;0.00;0.34;0.00;1.93;0.00;1.34;27.79;0.00;1.01;0.00;2.43;0.00;45.59;335.28;16.18;4.62;0.00;0.00;23.12;53.76;0.00;0.00;1.73;6.18;0;5;10;7;10;10;5;5;10;0.00;1.60;5.00;2.161;1.33;16.71;4.45;0.67;10.67;5.00;35.00;25.00;12.50
53;0.00;0.00;1.20;0.00;0.55;0.11;7.33;26.16;0.00;0.27;0.00;1.04;0.00;26.49;345.54;7.35;2.04;0.00;4.49;40.00;31.43;0.00;0.00;2.86;10.61;0;4;10;7;9;9;6;6;9;0.00;16.64;5.75;50.025;2.00;21.51;0.60;0.27;7.75;32.91;8.70;8.70;16.15
54;0.12;0.00;3.09;0.04;0.96;0.12;31.37;19.13;0.00;1.20;0.00;3.49;0.00;23.10;351.71;21.10;1.10;0.27;7.94;5.21;22.19;0.00;0.00;2.74;14.49;0;4;10;7;9;9;6;6;9;0.00;2.33;6.00;14.015;1.50;15.92;0.80;0.12;5.50;9.49;4.74;10.51;37.63
55;0.10;0.00;5.50;0.10;0.58;0.87;40.89;12.83;0.10;5.88;0.00;1.06;0.00;10.90;370.49;26.35;1.35;0.00;37.17;3.38;9.46;0.00;0.00;5.41;34.64;3;4;10;7;9;9;6;6;9;0.00;0.10;6.33;9.641;1.00;25.27;0.39;0.00;5.67;0.00;5.03;5.66;64.78
56;0.00;0.00;1.31;0.00;0.87;0.87;16.42;23.14;0.00;0.09;0.00;3.76;0.00;19.56;345.60;13.58;0.62;0.00;0.62;35.80;23.46;0.00;0.00;0.00;19.93;0;4;10;7;9;9;6;6;10;0.00;20.52;6.00;32.058;2.00;11.09;0.00;0.00;5.00;6.66;2.22;2.22;30.00
57;0.00;0.00;1.23;0.00;2.84;0.22;18.85;27.27;0.00;2.62;0.00;10.09;0.00;18.18;339.80;18.35;7.87;1.87;3.00;4.87;22.85;0.00;0.00;1.50;23.39;2;4;10;7;9;9;6;6;9;0.00;4.74;5.75;12.423;2.00;12.10;0.73;0.06;6.75;11.79;8.97;8.96;32.55
58;0.35;0.00;16.78;0.47;6.22;3.40;0.59;20.19;0.23;3.99;0.23;4.11;0.00;5.28;333.10;9.38;23.44;13.28;0.78;28.91;4.69;0.00;0.00;17.19;26.04;0;4;10;7;10;10;5;5;10;0.70;7.51;6.00;21.355;1.50;7.51;19.25;3.64;8.00;9.84;11.48;12.30;31.14
59;0.48;0.00;8.06;0.00;2.47;0.18;1.64;20.17;0.12;1.70;0.00;10.41;0.00;8.27;334.73;22.15;7.87;0.41;2.28;28.99;12.84;0.00;0.00;20.08;11.97;0;4;10;7;10;10;5;5;10;0.00;7.58;5.30;18.845;2.00;28.55;8.51;0.68;8.50;15.79;6.64;13.73;15.79
60;0.14;0.00;6.47;0.05;2.36;0.52;13.56;24.14;0.05;2.31;0.00;4.91;0.00;20.12;339.78;9.00;11.00;0.00;8.00;9.00;33.00;0.00;0.00;2.00;11.08;0;5;10;7;10;10;5;5;10;0.05;9.16;5.40;46.471;1.80;15.45;3.64;0.52;9.00;11.01;22.03;21.19;9.32
61;0.12;0.00;0.24;0.00;2.20;0.00;0.49;21.42;0.00;0.24;0.00;0.98;0.00;40.39;330.20;3.23;1.61;0.81;0.00;20.97;50.00;0.00;0.00;20.97;6.10;0;5;10;7;10;10;5;5;10;0.00;0.00;4.00;0.006;1.67;12.24;6.12;0.49;11.00;7.32;26.83;24.39;29.26
62;0.07;0.00;0.29;0.00;0.65;0.73;16.18;20.46;0.00;2.98;0.00;11.90;0.00;20.25;326.20;0.00;7.43;7.43;1.98;18.32;47.03;0.00;0.00;0.50;15.90;2;5;10;7;10;10;5;5;10;0.00;5.15;5.75;56.030;1.75;19.16;0.22;1.09;9.00;4.05;9.46;9.46;8.11
63;1.10;0.03;8.15;0.54;7.02;0.28;19.11;20.58;0.08;3.54;0.00;3.76;0.08;13.78;331.60;13.63;6.61;2.40;0.20;5.21;22.04;0.00;0.00;7.21;23.28;0;5;10;7;10;10;5;5;10;0.00;1.02;5.70;0.717;1.78;24.51;10.33;1.47;10.90;6.24;4.95;12.24;38.54
64;0.00;0.00;1.39;0.06;0.98;0.68;15.55;25.77;0.24;3.41;0.00;7.49;0.00;20.59;318.96;12.11;1.67;3.34;1.05;13.57;18.58;0.00;0.00;16.70;17.37;0;4;10;7;9;9;5;6;9;0.00;0.95;6.44;0.001;1.56;4.35;2.10;0.18;3.67;6.25;6.66;12.09;57.09
