CLE;V_CAL;V_KAA;V_RHG;V_VAAM
1;0.16667;0.50000;1.58333;1.91667
2;0.08333;1.41667;3.58333;12.66667
3;0.08333;0.58333;6.16667;5.66667
4;0.25000;13.66667;11.25000;7.75000
5;0.00000;0.57143;2.14286;1.42857
6;0.83333;3.94444;4.77778;5.88889
7;0.00000;0.16667;0.00000;3.16667
8;0.00000;0.33333;0.25000;0.75000
9;0.00000;0.00000;0.00000;2.16667
10;0.00000;0.16667;0.00000;4.50000
11;0.00000;43.83333;1.00000;12.50000
12;0.00000;15.00000;5.83333;16.33333
13;0.05556;9.50000;2.83333;11.00000
14;6.91667;9.75000;5.00000;8.08333
15;0.00000;1.05556;2.00000;2.38889
16;0.16667;2.11111;11.38889;4.33333
17;0.00000;10.20000;3.40000;7.00000
18;1.08333;1.25000;3.50000;2.41667
19;0.00000;2.41176;0.35294;6.35294
20;5.00000;3.33333;10.16667;14.50000
21;1.42857;6.07143;2.71429;4.41429
22;0.00000;3.00000;5.50000;4.66667
23;0.00000;13.20000;0.20000;10.40000
24;1.55882;1.79412;1.91176;2.88235
25;2.75000;16.33333;10.83333;6.16667
26;1.52632;19.76316;6.10526;9.15789
27;0.30000;15.20000;6.90000;10.10000
28;0.29412;5.29412;6.35294;10.23529
29;1.32000;10.72000;10.76000;7.72000
30;0.00000;3.33333;6.83333;6.72222
31;0.00000;6.25000;4.16667;6.16667
32;0.07692;6.23077;14.61538;8.61538
33;1.27907;5.72093;7.37209;5.46512
34;3.57143;10.92857;4.50000;9.50000
35;1.58333;5.75000;6.00000;7.83333
36;0.00000;4.20000;4.40000;12.20000
37;2.66667;10.94444;7.77778;10.50000
38;0.00000;39.83333;3.16667;17.50000
39;0.00000;1.58333;6.16667;9.91667
40;1.24691;4.14815;10.82716;5.67901
41;0.34821;2.80357;7.45536;5.30357
42;0.00000;0.00000;2.66667;3.16667
43;0.00000;1.15385;6.92308;1.46154
44;1.07143;3.71429;13.57143;6.28571
45;0.08333;14.83333;3.75000;12.66667
46;0.00000;20.16667;3.33333;19.66667
47;1.25000;1.25000;7.33333;4.83333
48;0.16667;6.25000;12.91667;6.83333
49;1.00000;6.61111;9.11111;7.94444
50;0.05556;3.61111;13.61111;3.16667
51;0.85714;3.85714;24.57143;8.28571
52;3.75000;6.00000;9.00000;9.75000
53;0.06667;20.80000;15.20000;30.66667
54;6.00000;10.50000;26.80000;13.80000
55;0.00000;11.16667;3.00000;10.33333
56;0.00000;2.28571;2.57143;6.00000
57;5.38462;40.92308;3.07692;13.46154
58;0.00000;5.92857;2.85714;7.71429
59;3.04545;9.00000;9.36364;8.09091
60;1.52174;19.21739;5.69565;21.82609
61;1.00000;2.66667;44.33333;11.16667
62;0.00000;1.41667;3.00000;2.33333
63;0.00000;5.59259;1.74074;8.51852
64;0.17647;12.05882;6.94118;13.23529
65;0.00000;12.85714;12.28571;7.14286
66;2.29412;4.00000;18.52941;12.47059
67;0.93750;4.56250;11.18750;8.87500
68;0.16667;19.27778;2.55556;7.55556
69;0.33333;8.83333;6.33333;9.58333
70;0.00000;0.16667;0.33333;1.00000
71;0.76923;9.15385;10.61538;7.38462
72;0.00000;29.71429;4.71429;12.00000
73;4.16667;4.25000;4.00000;6.08333
74;0.00000;0.36842;4.00000;1.57895
75;0.00000;2.50000;3.00000;1.00000
76;0.00000;0.08333;0.25000;1.66667
77;0.00000;27.00000;12.00000;17.00000
78;0.00000;1.94444;6.11111;10.05556
79;0.00000;28.50000;6.33333;23.66667
80;0.00000;0.16667;0.50000;0.66667
81;0.00000;0.25000;0.25000;2.08333
82;0.00000;11.00000;3.50000;33.33333
83;0.00000;5.50000;2.50000;12.83333
84;0.00000;13.83333;8.16667;33.83333
85;0.00000;13.50000;28.33333;51.16667
86;0.00000;3.00000;3.50000;6.83333
87;0.00000;4.08333;9.83333;13.16667
88;0.00000;0.75000;0.58333;5.58333
89;2.50000;3.33333;4.08333;4.83333
90;0.00000;28.16667;13.66667;11.00000
91;0.60000;37.80000;17.00000;8.00000
92;3.00000;19.83333;10.50000;26.50000
93;8.33333;14.66667;1.33333;17.00000
94;0.00000;6.00000;8.83333;7.00000
95;0.50000;40.16667;8.50000;12.00000
96;0.00000;6.75000;6.41667;6.00000
97;0.00000;7.16667;1.00000;12.16667
98;0.00000;11.00000;11.33333;10.83333
99;0.00000;9.50000;2.50000;10.66667
100;2.50000;14.33333;8.00000;11.66667
101;5.00000;12.00000;17.16667;24.50000
102;3.16667;11.00000;8.50000;18.00000
103;0.00000;13.66667;3.66667;5.33333
104;0.50000;16.00000;17.00000;6.00000
105;0.66667;10.50000;5.00000;7.16667
106;0.00000;10.33333;1.16667;5.33333
107;0.66667;15.00000;18.66667;6.33333
108;0.00000;4.80000;10.20000;6.00000
109;0.50000;6.33333;23.00000;5.00000
110;0.00000;4.00000;4.16667;5.00000
111;6.00000;22.20000;32.80000;13.20000
112;0.00000;7.66667;8.50000;8.66667
113;2.50000;13.00000;13.66667;19.50000
114;0.50000;10.83333;6.00000;7.50000
115;0.00000;4.00000;6.00000;4.00000
116;0.00000;0.66667;0.66667;3.00000
117;1.50000;8.25000;19.08333;7.16667
118;0.50000;4.83333;6.50000;7.25000
119;3.92308;17.38462;17.61538;7.00000
120;0.00000;6.50000;3.50000;13.66667
121;0.00000;36.00000;8.00000;8.42857
122;3.14286;23.42857;32.71429;24.85714
123;2.50000;11.00000;25.33333;10.66667
124;0.00000;20.00000;13.80000;38.40000
125;0.00000;3.20000;7.20000;3.20000
126;0.25000;11.56250;12.93750;3.87500
127;0.00000;13.80000;1.20000;5.20000
128;0.00000;4.40000;3.60000;2.60000
129;0.00000;2.50000;2.00000;1.66667
130;0.00000;16.20000;12.60000;16.00000
131;0.00000;8.21429;8.57143;4.00000
132;0.00000;17.40000;3.00000;3.20000
133;0.22727;9.13636;24.40909;9.95455
134;0.00000;1.80000;0.20000;4.00000
135;5.00000;7.70000;8.80000;4.10000
136;2.66667;6.00000;7.00000;3.33333
137;0.27273;13.90909;24.72727;17.27273
138;0.00000;3.60000;3.80000;3.60000
139;0.00000;0.00000;0.00000;2.00000
140;0.00000;5.61538;7.07692;20.92308
141;0.16667;11.75000;10.75000;13.16667
142;0.00000;9.50000;3.00000;10.33333
143;0.00000;3.00000;2.66667;4.66667
144;0.00000;13.81818;12.36364;9.54545
145;0.00000;3.16667;8.50000;5.50000
146;0.00000;2.50000;0.00000;7.00000
147;1.50000;3.25000;18.75000;8.83333
148;0.20000;21.00000;4.00000;7.20000
149;0.00000;25.16667;6.16667;25.83333
150;0.00000;0.00000;0.00000;7.80000
151;0.50000;21.50000;16.16667;8.16667
152;0.00000;0.83333;8.83333;1.66667
153;0.00000;6.00000;3.60000;6.00000
154;0.00000;3.20000;0.40000;11.60000
155;0.00000;7.40000;9.60000;8.60000
156;1.80000;10.80000;23.30000;5.80000
157;0.00000;0.00000;0.00000;2.50000
158;0.00000;25.50000;19.66667;18.66667
159;0.00000;17.00000;19.33333;15.25000
160;0.33333;7.75000;13.00000;7.91667
161;0.16667;6.16667;13.50000;6.66667
162;0.00000;14.33333;6.83333;8.00000
163;0.00000;3.00000;2.66667;2.50000
164;0.00000;0.00000;0.00000;0.83333
165;0.00000;1.90000;11.50000;6.00000
166;0.00000;3.60000;0.20000;3.40000
167;0.00000;3.00000;6.80000;2.60000
