"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"1",1,1.8,0,6.52,2.7,1.84,3.28,2.07,21.72,3.19,10.34,1.62,3.96,0.13,6.52,300.23,0.31,24.38,10.31,0.31,51.88,5.63,0,0,7.19,23.32,3,5,10,7,10,10,5,4,10,4.86,1.53,7.5,30.519,1,19.2,11.15,6.65,10.5,3.69,4.74,7.63,24.21,"L_c","c","L"
"2",2,0.06,0,2.74,0,0.91,12.05,0.18,1.34,0,27.88,0.55,3.77,0,3.35,300.85,0,8.8,23.6,0.4,42.4,3.6,0,0,12.8,33.72,5,5,10,7,9,9,5,4,10,11.63,1.7,7,51.086,1,3.35,0.61,0.3,9,0,0,1.48,5.89,"L_n","n","L"
"3",3,0.83,0,2.66,0.53,0.99,10.62,3.34,6.07,2.12,24.43,1.52,5.84,0,12.44,302.06,0,12.04,25.65,0.52,42.93,9.95,0,0,4.19,31.93,0,5,10,7,9,10,5,4,10,5.08,2.35,7.8,100,1,8.73,2.28,0.99,9.6,0,0,12.91,16.13,"L_n","n","L"
"4",4,0.94,0,7.71,2.76,3.24,1.06,11.41,29.82,3,1.82,0.24,3.29,0,12.53,326.65,2.42,23.39,3.63,6.85,13.71,13.71,0,0,3.23,19.12,0,5,10,7,9,9,5,4,10,0,0.94,6,9.178,1,25.41,9.18,2.41,10,6.02,14.46,12.05,30.12,"L_c","c","L"
"5",5,1.68,0,7.24,2.89,4.87,2.36,4.27,15.23,1.68,8.07,1.29,13.02,0,6.25,322.85,2.15,30.11,11.83,0,42.47,2.69,0,0,4.84,34.78,6,4,10,7,9,9,5,5,10,0.23,2.28,6.67,62.379,1,20.49,7.31,0.46,9.67,3.48,4.35,7.83,27.83,"H_c","c","H"
"6",6,1.27,0,5.68,6.99,5.09,2.67,2.71,31.75,4.92,0.81,0.17,2.42,0,10.13,333.94,12.65,34.94,12.65,1.81,19.88,5.72,0,0,3.01,34.24,5,5,10,7,9,10,5,5,10,0,3.94,5.17,21.564,1,30.27,16.66,3.22,9.83,10.99,15.75,17.95,35.53,"H_c","c","H"
"7",7,0.38,0.38,22.56,3.73,12.58,5.11,3.81,6.1,0.38,16.46,1.22,6.86,1.07,3.89,328.25,0.56,15.82,41.81,2.26,16.95,5.08,0,0,7.91,85.42,23,5,10,7,9,9,5,4,10,0.3,0.08,5.25,14.539,0,7.09,10.9,0.38,8,2.45,1.84,6.14,51.53,"L_d","d","L"
"8",8,2.65,0,5.56,7.11,10.4,0.78,0.58,5.3,3.04,8.14,4.65,12.6,4.13,3.94,292.85,0,18.58,15.93,0.44,36.28,7.08,0,0,20.35,34.29,5,5,10,7,9,9,5,4,10,0.19,0.32,10.5,10.119,1,7.88,28.29,2.52,8.5,1.16,1.16,15.12,38.37,"L_m","m","L"
"9",9,1.95,2.66,14.21,12.97,16.87,1.42,1.07,9.24,4.8,13.5,1.24,7.46,1.24,3.37,337.46,3.8,16.46,27.85,2.53,22.78,3.8,0,0,0,52.89,8,4,10,7,9,9,5,4,10,0,0,4,0.022,1,0.71,23.8,0.18,8,8.82,2.94,8.82,52.94,"L_d","d","L"
"10",10,1.24,0.07,14.98,4.21,10.84,9.66,1.86,6.42,1.86,19.46,1.04,7.04,0.07,3.11,323.09,0.52,14.95,48.97,0.52,28.87,1.55,0,0,3.09,52.61,2,5,10,7,9,9,5,4,9,0.76,1.73,7.83,51.458,1.33,4.49,9.66,0.55,9,1.98,0.99,1.98,9.9,"L_d","d","L"
